464,30:B6:2D:B0:F2:E0,2022-04-11 12:07:14,1339311,JioPrivateNet,1498229356482,11,-75,11,0,,20,,,IEEE 802.1X,CCMP
464,34:E8:94:EF:E3:09,2022-04-11 12:07:14,1339311,multhanwala,92270843,4,-58,4,0,,20,,,PSK,CCMP
464,52:57:9C:87:A7:CB,2022-04-11 12:07:14,1339311,DIRECT-9C-EPSON-8727CB,20994982650,1,-72,1,0,,20,,,PSK,CCMP
464,60:A4:B7:7D:31:9C,2022-04-11 12:07:14,1339311,VY Network-PMWANI-Fast,77209984,11,-43,11,0,,20,,,,
464,76:9F:3C:20:47:49,2022-04-11 12:07:14,1339311,vivo X70 Pro,697193868,2,-71,2,0,0,20,0,0,PSK,CCMP
464,78:0F:77:12:5A:91,2022-04-11 12:07:14,1339311,Hi11100Z1B0000000000000000025A91,111961511,11,-79,0,0,,,,,,
464,7C:21:D8:03:44:C4,2022-04-11 12:07:14,1339311,COFE_44C4,88909192,10,-60,10,0,,any,,,PSK,CCMP
464,B4:F9:49:43:E5:7F,2022-04-11 12:07:14,1339311,BSNL--fine arts tailors,77592332,7,-33,7,0,,any,,,PSK,CCMP
475,00:17:7C:8C:2E:57,2022-04-09 07:07:19,1317629,panther1,775924224480,6,-53,6,0,,any,,,PSK,CCMP
475,00:25:5E:2B:0E:CC,2022-04-09 07:07:19,1317629,V. T. Computer,2456790409,11,-51,0,0,,,,,PSK,CCMP TKIP
475,00:6D:61:A3:A1:77,2022-04-09 07:07:19,1317629,Jaipur,63884158056,4,-28,4,0,,20,,,PSK,CCMP
475,1C:3B:F3:BD:56:27,2022-04-09 07:07:19,1317629,Rahul,3017125273996,5,-59,5,0,,20,,,PSK,CCMP TKIP
475,38:94:E0:ED:57:AA,2022-04-09 07:07:19,1317629,Viva,88332291879,11,-60,11,0,,20,,,PSK,CCMP
475,50:2B:73:08:40:71,2022-04-09 07:07:19,1317629,CCTV camera,35804689760,6,-39,6,0,,any,,,PSK,CCMP
475,54:37:BB:BB:58:F9,2022-04-09 07:07:19,1317629,sort,699326464422,11,-76,11,0,,20,,,PSK,TKIP CCMP
475,58:7B:E9:07:01:90,2022-04-09 07:07:19,1317629,Anokha guest house,136899482561,11,-69,0,0,,,,,PSK,TKIP
475,58:93:96:18:7A:B8,2022-04-09 07:07:19,1317629,The Theme,4131509745226,6,-66,0,0,,,,,,
475,58:93:96:2B:22:B8,2022-04-09 07:07:19,1317629,The Theme,4131517148982,1,-89,0,0,,,,,,
475,64:FB:92:32:68:27,2022-04-09 07:07:19,1317629,Virus deducted-2.4G,107977011651,6,-54,6,0,,any,,,,
475,66:FB:92:12:68:27,2022-04-09 07:07:19,1317629,www.excitel.com,107976934045,6,-57,6,0,,any,,,,
475,9C:30:5B:60:D8:BC,2022-04-09 07:07:19,1317629,JioFi3_60D8BC,3015130008792,6,-47,6,0,,any,,,PSK,CCMP
475,A0:DE:0F:BA:B8:65,2022-04-09 07:07:19,1317629,Sparsa_PMI,7483811474,5,-65,5,0,,20,,,PSK,CCMP
475,D8:47:32:CB:48:5F,2022-04-09 07:07:19,1317629,RAMSADAN,2726500754492,3,-45,3,0,,any,,,PSK,CCMP
475,F8:0C:58:15:B8:F9,2022-04-09 07:07:19,1317629,Airtel_7568182642,113803252952,9,-68,9,0,,20,,,PSK,TKIP CCMP
475,F8:0C:58:2A:17:89,2022-04-09 07:07:19,1317629,Agarwal home,2068766458202,11,-55,11,0,,20,,,PSK,TKIP CCMP
475,F8:C4:F3:CB:FC:3F,2022-04-09 07:07:19,1317629,Airtel_9928791004,136876927647,1,-71,1,0,,any,,,PSK,TKIP CCMP
475,FA:0C:58:4A:17:89,2022-04-09 07:07:19,1317629,,2068766414516,11,-65,11,0,,20,,,PSK,CCMP
552,70:6D:EC:FE:01:34,2022-04-06 17:18:18,1291558,REMITS_PMWANI,258969984,1,-64,1,0,,20,,,,
552,70:6D:EC:FE:01:E2,2022-04-06 17:18:18,1291558,REMITS_PMWANI,258722442,1,-64,1,0,,20,,,,
552,70:6D:EC:FE:0D:28,2022-04-06 17:18:18,1291558,REMITS_PMWANI,258660544,1,-56,1,0,,20,,,,
552,70:6D:EC:FE:0E:F0,2022-04-06 17:18:18,1291558,REMITS_PMWANI,259556813,11,-69,11,0,,20,,,,
552,70:6D:EC:FE:10:97,2022-04-06 17:18:18,1291558,REMITS_PMWANI,258662784,1,-73,1,0,,20,,,,
