145,70:6D:EC:5C:78:5F,2022-04-11 03:01:31,15691850,Metropolitan Club,83741508,157,-85,127,0,0,20,157,0,PSK,CCMP TKIP,\N
145,70:6D:EC:5C:78:77,2022-04-11 03:01:31,15691850,Metropolitan Club,84019946,161,-66,127,0,0,20,161,0,PSK,CCMP TKIP,\N
145,B0:BE:76:83:B0:3F,2022-04-11 03:01:31,15691850,Metropolitan,235498159,2,-91,2,0,,any,,,PSK,TKIP CCMP,\N
145,E0:00:84:9B:38:48,2022-04-11 03:01:31,15691850,HUAWEI-rWVm,196057966,2,-85,2,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:07:15:26,2022-04-11 03:01:30,15691848,Metropolitan Club,96113355,6,-84,6,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:6A:4E,2022-04-11 03:01:30,15691848,Metropolitan Club,72186958,11,-55,11,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:6A:5E,2022-04-11 03:01:30,15691848,Metropolitan Club,71780284,10,-56,10,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:6A:6E,2022-04-11 03:01:30,15691848,Metropolitan Club,79605345,11,-65,11,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:6B:B6,2022-04-11 03:01:30,15691848,Metropolitan Club,72201574,9,-57,9,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:6B:EE,2022-04-11 03:01:30,15691848,Metropolitan Club,79256310,10,-77,10,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:77:76,2022-04-11 03:01:30,15691848,Metropolitan Club,79266533,9,-66,9,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:0A:78:BE,2022-04-11 03:01:30,15691848,Metropolitan Club,72222138,11,-73,11,0,,20,,,PSK,CCMP TKIP,\N
146,70:6D:EC:5C:78:4F,2022-04-11 03:01:30,15691848,Metropolitan Club,82897613,128,-66,127,0,0,20,128,0,PSK,CCMP TKIP,\N
146,70:6D:EC:5C:78:5F,2022-04-11 03:01:30,15691848,Metropolitan Club,83662690,157,-74,127,0,0,20,157,0,PSK,CCMP TKIP,\N
146,70:6D:EC:5C:78:6F,2022-04-11 03:01:30,15691848,Metropolitan Club,83968059,157,-88,127,0,0,20,157,0,PSK,CCMP TKIP,\N
146,70:6D:EC:5C:78:77,2022-04-11 03:01:30,15691848,Metropolitan Club,83925949,161,-87,127,0,0,20,161,0,PSK,CCMP TKIP,\N
147,70:6D:EC:07:15:26,2022-04-11 03:04:36,15691950,Metropolitan Club,286688313,6,-55,6,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:6A:5E,2022-04-11 03:04:36,15691950,Metropolitan Club,262370408,10,-57,10,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:6A:6E,2022-04-11 03:04:36,15691950,Metropolitan Club,270192200,11,-77,11,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:6B:92,2022-04-11 03:04:36,15691950,Metropolitan Club,262565228,11,-56,11,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:6B:B6,2022-04-11 03:04:36,15691950,Metropolitan Club,262784418,9,-48,9,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:6B:EE,2022-04-11 03:04:36,15691950,Metropolitan Club,269926784,10,-86,10,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:77:76,2022-04-11 03:04:36,15691950,Metropolitan Club,269926784,9,-79,9,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:78:BE,2022-04-11 03:04:36,15691950,Metropolitan Club,262803722,11,-54,11,0,,20,,,PSK,CCMP TKIP,\N
147,70:6D:EC:0A:78:FE,2022-04-11 03:04:36,15691950,Metropolitan Club,262656384,11,-80,11,0,,20,,,PSK,CCMP TKIP,\N
147,E2:41:36:DB:82:50,2022-04-11 03:04:36,15691950,Wlan-DB8250,730755069062,1,-89,1,0,,20,,,PSK,TKIP CCMP,\N
148,70:6D:EC:0A:6A:4E,2022-04-11 03:02:41,15691871,Metropolitan Club,143155584,11,-88,11,0,,20,,,PSK,CCMP TKIP,\N
148,70:6D:EC:0A:6A:6E,2022-04-11 03:02:41,15691871,Metropolitan Club,150564370,11,-44,11,0,,20,,,PSK,CCMP TKIP,\N
148,70:6D:EC:0A:6B:1A,2022-04-11 03:02:41,15691871,Metropolitan Club,150326096,11,-58,11,0,,20,,,PSK,CCMP TKIP,\N
148,70:6D:EC:0A:6B:92,2022-04-11 03:02:41,15691871,Metropolitan Club,142950784,11,-71,11,0,,20,,,PSK,CCMP TKIP,\N
148,70:6D:EC:0A:78:FE,2022-04-11 03:02:41,15691871,Metropolitan Club,143088856,11,-64,11,0,,20,,,PSK,CCMP TKIP,\N
148,70:6D:EC:5C:78:1B,2022-04-11 03:02:41,15691871,Metropolitan Club,154837154,165,-79,127,0,0,20,165,0,PSK,CCMP TKIP,\N
148,70:6D:EC:5C:78:6F,2022-04-11 03:02:41,15691871,Metropolitan Club,154780789,157,-48,127,0,0,20,157,0,PSK,CCMP TKIP,\N
148,70:6D:EC:5C:78:EF,2022-04-11 03:02:41,15691871,Metropolitan Club,154650097,161,-77,127,0,0,20,161,0,PSK,CCMP TKIP,\N
148,70:6D:EC:5C:78:FF,2022-04-11 03:02:41,15691871,Metropolitan Club,154612104,157,-71,127,0,0,20,157,0,PSK,CCMP TKIP,\N
148,B0:BE:76:83:B0:3F,2022-04-11 03:02:41,15691871,Metropolitan,306435881,2,-57,2,0,,any,,,PSK,TKIP CCMP,\N
148,E0:00:84:9B:38:48,2022-04-11 03:02:41,15691871,HUAWEI-rWVm,267075481,2,-53,2,0,,20,,,PSK,CCMP TKIP,\N
149,48:8F:5A:99:AD:7F,2022-04-11 03:01:30,15691849,FREE WIFI,2136030475167,1,-89,1,0,,20,,,,,\N
149,70:6D:EC:0A:6A:4E,2022-04-11 03:01:30,15691849,Metropolitan Club,72137139,11,-88,11,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:0A:6A:5E,2022-04-11 03:01:30,15691849,Metropolitan Club,71730265,10,-70,10,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:0A:6B:B6,2022-04-11 03:01:30,15691849,Metropolitan Club,72152465,9,-85,9,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:0A:6B:EE,2022-04-11 03:01:30,15691849,Metropolitan Club,79201348,10,-50,10,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:0A:77:76,2022-04-11 03:01:30,15691849,Metropolitan Club,79214130,9,-45,9,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:0A:78:BE,2022-04-11 03:01:30,15691849,Metropolitan Club,72192384,11,-99,11,0,,20,,,PSK,CCMP TKIP,\N
149,70:6D:EC:5C:78:4F,2022-04-11 03:01:30,15691849,Metropolitan Club,82973138,128,-87,127,0,0,20,128,0,PSK,CCMP TKIP,\N
149,70:6D:EC:5C:78:5F,2022-04-11 03:01:30,15691849,Metropolitan Club,83721095,157,-81,127,0,0,20,157,0,PSK,CCMP TKIP,\N
149,70:6D:EC:5C:78:77,2022-04-11 03:01:30,15691849,Metropolitan Club,84000863,161,-52,127,0,0,20,161,0,PSK,CCMP TKIP,\N
149,70:6D:EC:5C:78:93,2022-04-11 03:01:30,15691849,Metropolitan Club,83699395,153,-85,127,0,0,20,153,0,PSK,CCMP TKIP,\N
149,70:6D:EC:5C:78:EF,2022-04-11 03:01:30,15691849,Metropolitan Club,83908525,161,-60,127,0,0,20,161,0,PSK,CCMP TKIP,\N
149,B0:BE:76:83:B0:3F,2022-04-11 03:01:30,15691849,Metropolitan,235351536,2,-73,2,0,,any,,,PSK,TKIP CCMP,\N
149,E0:00:84:9B:38:48,2022-04-11 03:01:30,15691849,HUAWEI-rWVm,195911433,2,-78,2,0,,20,,,PSK,CCMP TKIP,\N
150,48:8F:5A:99:AD:7F,2022-04-11 03:02:42,15691873,FREE WIFI,2136101561644,1,-91,1,0,,20,,,,,\N
150,70:6D:EC:0A:6A:4E,2022-04-11 03:02:42,15691873,Metropolitan Club,143565184,11,-97,11,0,,20,,,PSK,CCMP TKIP,\N
150,70:6D:EC:0A:6A:5E,2022-04-11 03:02:42,15691873,Metropolitan Club,143131750,10,-79,10,0,,20,,,PSK,CCMP TKIP,\N
150,70:6D:EC:0A:6A:6E,2022-04-11 03:02:42,15691873,Metropolitan Club,150955297,11,-52,11,0,,20,,,PSK,CCMP TKIP,\N
150,70:6D:EC:0A:6B:1A,2022-04-11 03:02:42,15691873,Metropolitan Club,150717015,11,-51,11,0,,20,,,PSK,CCMP TKIP,\N
