iter	MultiClass
0	2.070030305
1	1.764779517
2	1.556405149
3	1.425104385
4	1.291405967
5	1.189445306
6	1.091673129
7	1.025020971
8	0.9570914495
9	0.9021179732
10	0.8486948003
11	0.8070706321
12	0.7492140608
13	0.7053035765
14	0.6614047968
15	0.6208663482
16	0.5898224507
17	0.5562316203
18	0.5342421995
19	0.5077805768
20	0.4827918356
21	0.4594115687
22	0.4389893536
23	0.4237540468
24	0.4091790663
25	0.3894533617
26	0.3738618366
27	0.3599963488
28	0.351177743
29	0.3424863407
30	0.3338667465
31	0.3241094206
32	0.311960201
33	0.299494833
34	0.2898504788
35	0.2862293712
36	0.2784712563
37	0.2717509356
38	0.2617218037
39	0.2585036446
40	0.257448598
41	0.2498641454
42	0.2455594584
43	0.2406638455
44	0.2370554987
45	0.2344359291
46	0.228492685
47	0.2273215912
48	0.2267812406
49	0.2252889816
50	0.2232143625
51	0.2196923969
52	0.2163846798
53	0.2129876506
54	0.2103235016
55	0.2062148688
56	0.2022622769
57	0.2000807683
58	0.1995647306
59	0.1960804379
60	0.1933997887
61	0.1890883812
62	0.1886148063
63	0.1873344513
64	0.1868638693
65	0.184958826
66	0.1833237946
67	0.1810973695
68	0.1801296904
69	0.17865227
70	0.1779499431
71	0.1771567812
72	0.1760748592
73	0.1736443627
74	0.1732997855
75	0.1695868269
76	0.1689196243
77	0.1688008688
78	0.1687621475
79	0.16832685
80	0.1678334125
81	0.1633766735
82	0.163226666
83	0.1628991623
84	0.1625024986
85	0.1623894873
86	0.1610617088
87	0.1602792054
88	0.1598534775
89	0.1594716153
90	0.159376527
91	0.1574472389
92	0.1569472909
93	0.1563334863
94	0.1549005645
95	0.1545543084
96	0.1544657575
97	0.1538922386
98	0.1537299478
99	0.1531899064
100	0.1530423285
101	0.1528383234
102	0.1527922516
103	0.1526939814
104	0.1525432612
105	0.1513774241
106	0.1513013492
107	0.1512432204
108	0.1511973988
109	0.1511354433
110	0.1508871919
111	0.1508132649
112	0.1507567892
113	0.1506693772
114	0.1505904768
115	0.1505277391
116	0.150456067
117	0.150387201
118	0.1502830389
119	0.1501720989
120	0.1500791586
121	0.1500206731
122	0.149937752
123	0.1498601089
124	0.1497802707
125	0.1496722483
126	0.1496136187
127	0.1495480375
128	0.1494654744
129	0.1493641612
130	0.1492899548
131	0.1492376046
132	0.1491660003
133	0.1491125524
134	0.1490304588
135	0.1489802272
136	0.148923169
137	0.1488634563
138	0.1487847127
139	0.14872319
140	0.1486742328
141	0.1486249893
142	0.1485523189
143	0.1484784491
144	0.1484382312
145	0.1483584731
146	0.1482719966
147	0.1482123326
148	0.148166027
149	0.1480555135
150	0.1479894281
151	0.1479417407
152	0.1478948821
153	0.147845591
154	0.1478082264
155	0.1477610628
156	0.1476874497
157	0.1476433615
158	0.1475859758
159	0.1475238862
160	0.1474593528
161	0.1474203646
162	0.1473627248
163	0.147325544
